Index,Raw path,Volume,Part,Section,Compile order
80,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0080.tif,Atlas Antarktiki II,,,75
81,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0081.tif,Atlas Antarktiki II,,,76
82,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0082.tif,Atlas Antarktiki II,,,77
83,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0083.tif,Atlas Antarktiki II,,,78
84,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0084.tif,Atlas Antarktiki II,,,79
85,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0085.tif,Atlas Antarktiki II,,,80
86,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0086.tif,Atlas Antarktiki II,,,81
87,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0087.tif,Atlas Antarktiki II,,,82
88,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0088.tif,Atlas Antarktiki II,,,83
89,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0089.tif,Atlas Antarktiki II,,,84
90,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0090.tif,Atlas Antarktiki II,,,85
91,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0091.tif,Atlas Antarktiki II,,,86
92,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0092.tif,Atlas Antarktiki II,,,87
93,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0093.tif,Atlas Antarktiki II,,,88
94,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0094.tif,Atlas Antarktiki II,,,89
95,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0095.tif,Atlas Antarktiki II,,,90
96,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0096.tif,Atlas Antarktiki II,,,91
